latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-37.485,149.553,311.3,1.1,1,2020-03-20,0015,T,69,6.0NRT,297.4,7,D
-37.494,149.551,327.4,1.1,1,2020-03-20,0015,T,84,6.0NRT,297.3,23.7,D
-38.228,147.165,312.2,1,1,2020-03-20,0015,T,55,6.0NRT,294.6,8.7,D
-38.229,147.176,306.3,1,1,2020-03-20,0015,T,47,6.0NRT,292.7,4.8,D
-21.376,145.025,318,2.1,1.4,2020-03-20,0010,T,55,6.0NRT,304.9,17.2,D
-23.325,149.355,334.4,1.1,1,2020-03-20,0010,T,85,6.0NRT,303.9,28.9,D
-23.327,149.365,325.3,1.1,1,2020-03-20,0010,T,75,6.0NRT,303,16.2,D
-23.649,149.01,328.6,1.1,1,2020-03-20,0010,T,78,6.0NRT,303.8,22.7,D
-23.65,149.021,326.5,1.1,1,2020-03-20,0010,T,76,6.0NRT,303.8,19.7,D
-26.383,149.563,316.4,1,1,2020-03-20,0010,T,58,6.0NRT,301.8,7.7,D
-26.838,151.881,320.7,1.1,1,2020-03-20,0010,T,67,6.0NRT,298.2,14.5,D
-26.84,151.891,345.4,1.1,1,2020-03-20,0010,T,93,6.0NRT,300.7,52.5,D
-27.037,151.39,328.6,1,1,2020-03-20,0010,T,80,6.0NRT,309.1,18,D
-27.011,150.688,322.4,1,1,2020-03-20,0010,T,70,6.0NRT,305.4,10.6,D
-27.564,153.001,317.9,1.2,1.1,2020-03-20,0010,T,30,6.0NRT,303,8.2,D
-27.215,150.381,321.2,1,1,2020-03-20,0010,T,60,6.0NRT,303.7,8.8,D
-27.216,150.391,336.1,1,1,2020-03-20,0010,T,85,6.0NRT,305.2,27.5,D
-27.218,150.401,321.3,1,1,2020-03-20,0010,T,56,6.0NRT,304.5,8.6,D
-27.518,150.567,323.7,1,1,2020-03-20,0010,T,71,6.0NRT,305.9,9.6,D
-28.082,151.051,315,1,1,2020-03-20,0010,T,36,6.0NRT,302.4,6,D
-28.091,151.049,316.4,1,1,2020-03-20,0010,T,50,6.0NRT,302.3,7.5,D
-28.274,151.972,319.5,1.1,1,2020-03-20,0010,T,71,6.0NRT,303.1,11.8,D
-28.44,152.208,314,1.1,1.1,2020-03-20,0010,T,62,6.0NRT,299.9,8.3,D
-28.424,151.264,322.5,1,1,2020-03-20,0010,T,59,6.0NRT,306.2,9.6,D
-29.223,150.738,341.6,1,1,2020-03-20,0010,T,90,6.0NRT,307.4,37.4,D
-29.224,150.748,326.4,1,1,2020-03-20,0010,T,76,6.0NRT,307.1,14.8,D
-29.232,150.736,378.8,1,1,2020-03-20,0010,T,100,6.0NRT,306.7,142.7,D
-29.233,150.747,327.6,1,1,2020-03-20,0010,T,76,6.0NRT,304.9,15.8,D
-29.825,150.702,316.5,1,1,2020-03-20,0010,T,45,6.0NRT,302.6,6.7,D
-30.199,152.788,352.5,1.2,1.1,2020-03-20,0010,T,97,6.0NRT,297,90.2,D
-30.201,152.801,322.7,1.2,1.1,2020-03-20,0010,T,80,6.0NRT,295.9,25.7,D
-30.209,152.787,338,1.2,1.1,2020-03-20,0010,T,90,6.0NRT,294.5,51.1,D
-30.211,152.799,325.2,1.2,1.1,2020-03-20,0010,T,82,6.0NRT,294.7,28.1,D
-30.084,151.4,333.6,1.1,1,2020-03-20,0010,T,87,6.0NRT,297.8,33.6,D
-30.401,151.723,308.4,1.1,1.1,2020-03-20,0010,T,55,6.0NRT,296.2,5.8,D
-30.637,151.349,309.5,1.1,1,2020-03-20,0010,T,50,6.0NRT,298.3,4.8,D
-30.724,148.97,325.2,1,1,2020-03-20,0010,T,73,6.0NRT,303,14.1,D
-30.725,148.98,319.9,1,1,2020-03-20,0010,T,62,6.0NRT,302.5,8.1,D
-30.99,146.678,334.1,1.1,1.1,2020-03-20,0010,T,83,6.0NRT,307.8,24.5,D
-30.993,146.671,326.5,1.1,1.1,2020-03-20,0010,T,74,6.0NRT,308.3,14.8,D
-30.995,146.683,325.2,1.1,1.1,2020-03-20,0010,T,71,6.0NRT,306.4,13,D
-31.679,145.01,322.4,1.3,1.1,2020-03-20,0010,T,62,6.0NRT,307.6,9.3,D
-33.814,150.797,312.6,1.1,1,2020-03-20,0010,T,43,6.0NRT,299.3,5,D
-34.461,150.88,320.8,1.1,1.1,2020-03-20,0010,T,55,6.0NRT,304.4,9.4,D
-34.465,150.886,319.8,1.1,1.1,2020-03-20,0010,T,55,6.0NRT,304.3,10.2,D
-35.896,145.595,316,1.1,1,2020-03-20,0010,T,60,6.0NRT,299.7,8.6,D
-35.902,145.6,312.5,1.1,1,2020-03-20,0010,T,48,6.0NRT,300.1,4.6,D
45.146,28.945,324.2,1,1,2020-03-20,0020,A,100,6.0NRT,276.6,28.4,N
45.135,28.955,359.7,1,1,2020-03-20,0020,A,100,6.0NRT,278.1,96.1,N
11.93,21.807,301.9,1.3,1.1,2020-03-20,0025,A,12,6.0NRT,286.7,6.1,N
11.924,21.781,313.9,1.3,1.1,2020-03-20,0025,A,88,6.0NRT,290.5,17.9,N
11.922,21.793,348.5,1.3,1.1,2020-03-20,0025,A,100,6.0NRT,294.3,87.9,N
11.92,21.805,325.4,1.3,1.1,2020-03-20,0025,A,100,6.0NRT,290.1,34.4,N
11.918,21.817,308.9,1.3,1.1,2020-03-20,0025,A,76,6.0NRT,287.1,12.8,N
11.914,21.78,336.8,1.3,1.1,2020-03-20,0025,A,100,6.0NRT,291.3,57.2,N
