"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WSFG","WT01","WT03","WT04","WT06","WT11"
"USC00310982","BOONE, NC US","2019-01-01",,,"0.02","0.0","0.0","56","41","50",,,,,,
"USC00310982","BOONE, NC US","2019-01-02",,,"0.00","0.0","0.0","50","33","34",,,,,,
"USC00310982","BOONE, NC US","2019-01-03",,,"0.22","0.0","0.0","46","34","44",,,,,,
"USC00310982","BOONE, NC US","2019-01-04",,,"0.06","0.0","0.0","47","38","42",,,,,,
"USC00310982","BOONE, NC US","2019-01-05",,,"0.77","0.0","0.0","48","35","35",,,,,,
"USC00310982","BOONE, NC US","2019-01-06",,,"0.00","0.0","0.0","45","33","36",,,,,,
"USC00310982","BOONE, NC US","2019-01-07",,,"0.00","0.0","0.0","55","32","34",,,,,,
"USC00310982","BOONE, NC US","2019-01-08",,,"0.00","0.0","0.0","47","34","37",,,,,,
"USC00310982","BOONE, NC US","2019-01-09",,,"0.00","0.0","0.0","55","31","31",,,,,,
"USC00310982","BOONE, NC US","2019-01-10",,,"0.00","0.0","0.0","36","17","17",,,,,,
"USC00310982","BOONE, NC US","2019-01-11",,,"0.00","0.0","0.0","27","16","22",,,,,,
"USC00310982","BOONE, NC US","2019-01-12",,,"0.02","0.4","0.0","43","22","25",,,,,,
"USC00310982","BOONE, NC US","2019-01-13",,,"0.10","1.0","1.0","31","25","31",,,,,,
"USC00310982","BOONE, NC US","2019-01-14",,,"0.20","0.0","1.0","36","30","34",,,,,,
"USC00310982","BOONE, NC US","2019-01-15",,,"0.01","0.1","0.0","34","27","27",,,,,,
"USC00310982","BOONE, NC US","2019-01-16",,,"0.00","0.0","0.0","34","21","24",,,,,,
"USC00310982","BOONE, NC US","2019-01-17",,,"0.00","0.0","0.0","38","21","23",,,,,,
"USC00310982","BOONE, NC US","2019-01-18",,,"0.16","0.0","0.0","36","23","36",,,,,,
"USC00310982","BOONE, NC US","2019-01-19",,,"0.00","0.0","0.0","41","35","37",,,,,,
"USC00310982","BOONE, NC US","2019-01-20",,,"0.93","0.0","0.0","46","32","32",,,,,,
"USC00310982","BOONE, NC US","2019-01-21",,,"0.00","0.0","0.0","32","5","5",,,,,,
"USC00310982","BOONE, NC US","2019-01-22",,,"0.00","0.0","0.0","21","5","13",,,,,,
"USC00310982","BOONE, NC US","2019-01-23",,,"0.12","0.0","0.0","36","12","36",,,,,,
"USC00310982","BOONE, NC US","2019-01-24",,,"1.62","0.0","0.0","49","36","45",,,,,,
"USC00310982","BOONE, NC US","2019-01-25",,,"0.04","0.0","0.0","46","20","22",,,,,,
"USC00310982","BOONE, NC US","2019-01-26",,,"0.00","0.0","0.0","30","16","22",,,,,,
"USC00310982","BOONE, NC US","2019-01-27",,,"0.00","0.0","0.0","34","16","16",,,,,,
"USC00310982","BOONE, NC US","2019-01-28",,,"0.00","0.0","0.0","38","16","23",,,,,,
"USC00310982","BOONE, NC US","2019-01-29",,,"0.00","0.0","0.0","42","21","35",,,,,,
"USC00310982","BOONE, NC US","2019-01-30",,,"0.05","0.0","0.0","38","14","15",,,,,,
"USC00310982","BOONE, NC US","2019-01-31",,,"0.00","0.0","0.0","22","10","11",,,,,,
"USC00310982","BOONE, NC US","2019-02-01",,,"0.00","0.0","0.0","29","11","15",,,,,,
"USC00310982","BOONE, NC US","2019-02-02",,,"0.00","0.0","0.0","40","15","29",,,,,,
"USC00310982","BOONE, NC US","2019-02-03",,,"0.00","0.0","0.0","51","21","25",,,,,,
"USC00310982","BOONE, NC US","2019-02-04",,,"0.00","0.0","0.0","57","23","23",,,,,,
"USC00310982","BOONE, NC US","2019-02-05",,,"0.00","0.0","0.0","60","23","48",,,,,,
"USC00310982","BOONE, NC US","2019-02-06",,,"0.00","0.0","0.0","61","33","35",,,,,,
"USC00310982","BOONE, NC US","2019-02-07",,,"0.32","0.0","0.0","66","35","49",,,,,,
"USC00310982","BOONE, NC US","2019-02-08",,,"0.00","0.0","0.0","70","47","47",,,,,,
"USC00310982","BOONE, NC US","2019-02-09",,,"0.00","0.0","0.0","47","23","23",,,,,,
"USC00310982","BOONE, NC US","2019-02-10",,,"0.00","0.0","0.0","45","22","25",,,,,,
"USC00310982","BOONE, NC US","2019-02-11",,,"0.13","0.0","0.0","42","25","42",,,,,,
"USC00310982","BOONE, NC US","2019-02-12",,,"0.16","0.0","0.0","55","35","35",,,,,,
"USC00310982","BOONE, NC US","2019-02-13",,,"0.35","0.0","0.0","49","28","28",,,,,,
"USC00310982","BOONE, NC US","2019-02-14",,,"0.00","0.0","0.0","37","23","23",,,,,,
"USC00310982","BOONE, NC US","2019-02-15",,,"0.00","0.0","0.0","51","23","41",,,,,,
"USC00310982","BOONE, NC US","2019-02-16",,,"0.18","0.0","0.0","52","40","42",,,,,,
"USC00310982","BOONE, NC US","2019-02-17",,,"0.06","0.0","0.0","48","30","30",,,,,,
"USC00310982","BOONE, NC US","2019-02-18",,,"0.45","0.0","0.0","47","29","42",,,,,,
"USC00310982","BOONE, NC US","2019-02-19",,,"0.00","0.0","0.0","43","25","25",,,,,,
"USC00310982","BOONE, NC US","2019-02-20",,,"0.44","2.0","2.0","36","24","27",,,,,,
"USC00310982","BOONE, NC US","2019-02-21",,,"0.58","0.0","1.0","48","27","47",,,,,,
"USC00310982","BOONE, NC US","2019-02-22",,,"0.26","0.0","0.0","57","41","41",,,,,,
"USC00310982","BOONE, NC US","2019-02-23",,,"1.13","0.0","0.0","44","37","37",,,,,,
"USC00310982","BOONE, NC US","2019-02-24",,,"1.08","0.0","0.0","48","36","45",,,,,,
"USC00310982","BOONE, NC US","2019-02-25",,,"0.00","0.0","0.0","56","29","29",,,,,,"    1"
"USC00310982","BOONE, NC US","2019-02-26",,,"0.00","0.0","0.0","44","24","24",,,,,,
"USC00310982","BOONE, NC US","2019-02-27",,,"0.00","0.0","0.0","56","22","35",,,,,,
"USC00310982","BOONE, NC US","2019-02-28",,,"0.00","0.0","0.0","60","35","45",,,,,,
"USC00310982","BOONE, NC US","2019-03-01",,,"0.10","0.0","0.0","53","43","45",,,,,,
"USC00310982","BOONE, NC US","2019-03-02",,,"0.39","0.0","0.0","54","37","39",,,,,,
"USC00310982","BOONE, NC US","2019-03-03",,,"0.00","0.0","0.0","58","37","39",,"    1",,,,
"USC00310982","BOONE, NC US","2019-03-04",,,"0.17","0.0","0.0","43","26","26",,,,,,
"USC00310982","BOONE, NC US","2019-03-05",,,"0.00","0.0","0.0","42","18","18",,,,,,
"USC00310982","BOONE, NC US","2019-03-06",,,"0.00","0.0","0.0","30","12","12",,,,,,
"USC00310982","BOONE, NC US","2019-03-07",,,"0.00","0.0","0.0","28","12","22",,,,,,
"USC00310982","BOONE, NC US","2019-03-08",,,"0.00","0.0","0.0","41","22","31",,,,,,
"USC00310982","BOONE, NC US","2019-03-09",,,"0.36","0.0","0.0","35","28","32",,"    1",,,,
"USC00310982","BOONE, NC US","2019-03-10",,,"0.75","0.0","0.0","46","32","46",,,,,,
"USC00310982","BOONE, NC US","2019-03-11",,,"0.00","0.0","0.0","63","38","44",,,,,,
"USC00310982","BOONE, NC US","2019-03-12",,,"0.00","0.0","0.0","53","31","38",,,,,,
"USC00310982","BOONE, NC US","2019-03-13",,,"0.00","0.0","0.0","57","27","28",,,,,,
