"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WSFG","WT01","WT03","WT04","WT06","WT11"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-01",,,"0.13","0.0","0.0","51","41","42",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-02",,,"0.01","0.0","0.0","45","37","40",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-03",,,"0.30","0.0","0.0","44","37","38",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-04",,,"0.28","0.0","0.0","44","37","41",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-05",,,"0.72","0.1","0.0","42","27","27",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-06",,,"0.00","0.0","0.0","35","27",,,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-07",,,"0.00","0.0","0.0","45","33","35",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-08",,,"0.00","0.0","0.0","45","34","45",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-09",,,"0.00","0.0","0.0","47","19","23",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-10",,,"0.00","0.0","0.0","27","8","11",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-11",,,"0.00","0.0","0.0","30","11","26",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-12",,,"0.01","0.0","0.0","42","19","24",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-13",,,"0.61","0.0","0.0","35","24","34",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-14",,,"0.09","0.3","0.0","35","26","26",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-15",,,"0.13","0.6","0.0","28","18","19",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-16",,,"0.00","0.0","0.0","31","18","27",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-17",,,"0.00","0.0","0.0","32","26","31",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-18",,,"0.14","1.0","0.0","34","25","32",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-19",,,"0.01","0.0","0.0","36","32","35",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-20",,,"0.61","0.1","0.0","41","20",,,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-21",,,"0.06","0.4","0.0","21","-6","2",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-22",,,"0.00","0.0","0.0","26","2","26",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-23",,,"0.12","0.0","0.0","38","22","38",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-24",,,"1.63","0.0","0.0","44","27","27",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-25",,,"0.07","0.2","0.0","27","13","15",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-26",,,"0.00","0.0","0.0","20","13","18",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-27",,,"0.00","0.0","0.0","25","18","25",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-28",,,"0.00","0.0","0.0","31","24","30",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-29",,,"0.00","0.0","0.0","33","28","31",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-30",,,"0.09","0.5","0.0","31","5","12",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-01-31",,,"0.00","0.0","0.0","14","5","13",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-01",,,"0.00","0.0","0.0","30","13","30",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-02",,,"0.00","0.0","0.0","37","29","37",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-03",,,"0.00","0.0","0.0","48","36","44",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-04",,,"0.00","0.0","0.0","47","38","45",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-05",,,"0.02","0.0","0.0","54","43","45",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-06",,,"0.00","0.0","0.0","53","44","53",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-07",,,"0.38","0.0","0.0","61","50","56",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-08",,,"0.02","0.0","0.0","64","39","39",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-09",,,"0.00","0.0","0.0","39","17","33",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-10",,,"0.00","0.0","0.0","43","26","33",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-11",,,"0.31","0.0","0.0","46","31","45",,,,"    1",,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-12",,,"0.23","0.0","0.0","52","36","39",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-13",,,"0.35","0.0","0.0","44","17","20",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-14",,,"0.00","0.0","0.0","44","20","44",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-15",,,"0.00","0.0","0.0","47","34","37",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-16",,,"0.32","0.0","0.0","43","36","37",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-17",,,"0.29","0.0","0.0","43","32","34",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-18",,,"0.44","0.0","0.0","46","29","29",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-19",,,"0.00","0.0","0.0","40","27","29",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-20",,,,"0.0","0.0","43","21",,,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-21","    2","1.05",,"0.0","0.0","51","28","50",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-22",,,"0.43","0.0","0.0","54","37","46",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-23",,,"0.74","0.0","0.0","48","34","35",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-24",,,"1.09","0.0","0.0","50","35","44",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-25",,,"0.00","0.0","0.0","49","19","22",,,,,,"    1"
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-26",,,"0.00","0.0","0.0","43","22","43",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-27",,,"0.00","0.0","0.0","53","37","45",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-02-28",,,"0.00","0.0","0.0","53","38","42",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-01",,,"0.10","0.0","0.0","46","40","44",,"    1",,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-02",,,"0.53","0.0","0.0","45","31","41",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-03",,,"0.00","0.0","0.0","53","37","39",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-04",,,"0.19","0.3","0.0","41","16","18",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-05",,,"0.00","0.0","0.0","18","9","12",,,,,,
"USC00313565","GRANDFATHER MOUNTAIN, NC US","2019-03-06",,,"0.00","0.0","0.0","17","2","8",,,,,,
