"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-01",,,"0.30","0.0","0.0","48","36","36"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-02",,,"0.03","0.0","0.0","44","36","40"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-03",,,"0.63","0.0","0.0","46","33","38"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-04",,,"0.34","0.0","0.0","44","36","44"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-05",,,"1.00","2.0","1.0","44","23","24"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-06",,,"0.00","0.0","0.0","33","23","32"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-07",,,"0.00","0.0","0.0","47","32","35"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-08",,,"0.00","0.0","0.0","41","33","37"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-09",,,"0.00","0.0","0.0","43","15","15"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-10",,,"0.00","0.0","0.0","22","6","6"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-11",,,"0.00","0.0","0.0","30","6","30"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-12",,,"0.00","0.0","0.0","40","23","26"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-13",,,"1.07","3.0","1.0","34","22","32"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-14",,,"0.00","0.0","0.0","32","24","24"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-15",,,"0.00","0.0","0.0","27","15","20"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-16",,,"0.00","0.0","0.0","28","17","20"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-17",,,"0.00","0.0","0.0","35","20","31"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-18",,,"0.14","0.0","0.0","38","26","29"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-19",,,"0.00","0.0","0.0","33","28","31"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-20",,,"1.24","0.5","1.0","38","17","17"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-21",,,"0.00","0.0","1.0","17","-7","-5"
"USC00315923","MOUNT MITCHELL, NC US","2019-01-22",,,"0.00","0.0","0.0","29","-6","28"
