"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-01","0.00",,,,"55","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-02","0.00",,,,"57","42",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-03","0.00",,,,"55","44",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-04","0.00",,,,"56","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-05","0.13",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-06","1.28",,,,"57","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-07","0.00",,,,"58","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-08","0.04",,,,"59","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-09","0.06",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-10","0.00",,,,"58","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-11","0.29",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-12","0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-13","0.00",,,,"60","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-14","0.01",,,,"57","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-15","0.86",,,,"56","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-16","1.14",,,,"61","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-17","0.52",,,,"59","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-18","0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-19","0.00",,,,"66","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-20","0.21",,,,"59","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-21","0.00",,,,"57","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-22","0.00",,,,"60","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-23","0.00",,,,"59","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-24","0.00",,,,"66","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-25","0.00",,,,"65","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-26","0.00",,,,"66","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-27","0.00",,,,"66","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-28","0.00",,,,"66","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-29","0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-30","0.08",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-01-31","0.51",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-01","0.21",,,,"58","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-02","0.71",,,,"59","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-03","0.25",,,,"55","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-04","0.63",,,,"51","42",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-05","0.04",,,,"50","40",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-06","0.00",,,,"54","42",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-07","0.00",,,,"55","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-08","0.26",,,,"51","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-09","0.38",,,,"54","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-10","0.16",,,,"50","40",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-11","0.00",,,,"53","44",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-12","0.28",,,,"53","44",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-13","2.49",,,,"60","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-14","1.00",,,,"62","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-15","0.14",,,,"54","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-16","0.13",,,,"52","44",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-17","0.18",,,,"52","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-18","0.00",,,,"55","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-19","0.00",,,,"56","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-20","0.00",,,,"54","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-21","0.00",,,,"56","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-22","0.00",,,,"56","44",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-23","0.00",,,,"55","43",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-24","0.00",,,,"57","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-25","0.12",,,,"56","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-26","0.63",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-27","0.33",,,,"60","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-02-28","0.00",,,,"56","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-01","0.01",,,,"57","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-02","0.81",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-03","0.07",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-04","0.09",,,,"56","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-05","0.37",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-06","0.79",,,,"58","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-07","0.04",,,,"54","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-08","0.00",,,,"54","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-09","0.21",,,,"55","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-10","0.19",,,,"57","46",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-11","0.00",,,,"63","45",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-12","0.00",,,,"57","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-13","0.00",,,,"61","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-14","0.00",,,,"64","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-15","0.00",,,,"68","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-16","0.00",,,,"71","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-17","0.00",,,,"72","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-18","0.00",,,,"73","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-19","0.00",,,,"68","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-20","0.66",,,,"60","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-21","0.00",,,,"60","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-22","0.61",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-23","0.06",,,,"58","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-24","0.00",,,,"65","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-25","0.18",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-26","0.12",,,,"64","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-03-27","0.02",,,,"61","53",
